Year,Date,Time,Operator,Flight,Fatalities,Summary,Location,Latitude,Longitude,geometry
1960,1/3/1960,10:40,Indian Airlines,,9,"The cargo plane crashed while dropping supplies and making a narrow turn in a valley. The accident was attributed to an error in navigation which caused the pilot to enter the wrong valley. During an attempt to turn back in a restricted area, the aircraft stalled and crashed.","Taksing, India",28.4203911,93.3255744,POINT (28.4203911 93.32557440000001)
1960,1/6/1960,2:38,National Airlines,2511,34,"The plane disintegrated in flight at 18,000 feet and crashed 1.5 miles northwest of Bolivia, North Carolina. Detonation of a dynamite bomb by means of dry cell batteries, in the vicinity of row 7, in the passenger cabin.  The plane continued to fly for a short time after which the fuselage came apart and the plane crashed in a ball of flames. Julian Frank, who had purchased 1 million dollars in insurance, was suspected of committing suicide by detonating the bomb in his lap or under his seat. There is a possibility Frank may have been an unwitting bomb carrier and that this bombing has something to do with the National Airlines crash of November, 16, 1959. No one was charged in either case.","Wilmington/Bolivia, North Carolina",34.046579,-78.131092,POINT (34.046579 -78.13109200000002)
1960,1/10/1960,15:38,Military - U.S. Army,,10,"Missing, never found.",Gulf of Sirte,31.2928312,18.04541084,POINT (31.2928312 18.0454108362067)
1960,1/18/1960,22:19,Capital Airlines,20,50,"The aircraft crashed and burned in a wooded area, striking the ground in a level attitude. The delayed arming of the engine ice-protection systems while flying through icing conditions, causing eventual flame-out of the four engines. This condition existed for sufficient time to cause a drop in battery electrical energy, preventing the unfeathering and relighting of sufficient engines to maintain flight. The aircraft was then dived in an  effort to attain sufficient airspeed to drive the propellers out of the feathered positions by wind-milling.  At the same time, multiple attempts were made to relight one or more engines. Successful relights were either interrupted by auto-feather action initiated by premature advancing of the throttles prior to complete light up of an engine or prevented by insufficient battery electrical energy. No. 4 engine was eventually  relit and the crew had just successfully relit No. 3 engine when the aircraft crashed.","Charles City, Virginia",37.3705777,-77.0605098,POINT (37.3705777 -77.06050980000001)
1960,1/19/1960,18:47,Scandinavian Airlines (SAS),871,42,"While on a flight from Istanbul to Ankara, Turkey the aircraft crashed while on approach to Esenboga Airport, 6 nm short of the runway. The aircraft struck the ground at an elevation of 3,500 ft, between the Ankara mountain range and the airport. An unintentional descent below the authorized minimum flight altitude during final approach to Esenboga Airport for reasons that could not be determined. The aircraft was named ""Orm Viking.""","Ankara, Turkey",39.9207774,32.854067,POINT (39.9207774 32.854067)
1960,1/21/1960,,AVIANCA,671,37,A heavy landing led to structural failure and a fire. The adoption of a final approach path resulting in a heavy landing during which a major structural failure occurred in the port wing. Crew fatigue. Lack of proper training.,"Montego Bay, Jamacia",18.47116,-77.91883,POINT (18.47116 -77.91883)
1960,1/26/1960,12:30,Transportes Aéreos de Timor,,9,Radio contact was lost with the aircraft before it crashed into the ocean. Poor weather.  Unqualified pilot.,"Bathurst Island, Australia",-11.57730195,130.4177397,POINT (-11.57730195 130.417739671509)
1960,2/5/1960,7:20,Lloyd Aereo Boliviano,,59,"Few minutes after takeoff and reaching an altitude of 9,000 feet, the captain stated that an engine exploded. Shortly thereafter, the airplane went out of control and crashed in Laguna Huanacota, about 13 km south of the airport. A two-year-old girl survived but later died from her injuries.Investigators believed that the maximum takeoff weight was exceeded and this contributed to the engine exploding.","Cochabamba, Bolivia",-17.3935853,-66.1569588,POINT (-17.3935853 -66.1569588)
1960,2/25/1960,13:07,REAL / Military - U.S. Navy,,61,"Midair collision between a DC-3 and a US Navy R-6D. Improper piloting procedures when flying on authorized instrument flight (US Navy pilot). The pilot of the USN plane disobeyed instructions transmitted by Rio Approach Control. The U.S. Navy disagreed and placed no blame on neither pilot. Twenty six killed on the DC-3, 35 on the R4-D6. Members of the United States Navy Band among those killed.","Rio de Janeiro, Brazil",-22.9110137,-43.2093727,POINT (-22.9110137 -43.2093727)
1960,2/26/1960,16:57,Aeroflot,315,32,The plane crashed into a swamp short of the runway threshold. Icing of the horizontal stabilizer.,"Lvov-Snilow, Ukraine",49.841559,24.031393,POINT (49.841559 24.031393)
1960,2/26/1960,,Alitalia,,34,Lost altitude shortly after taking off and crashed. Cause unknown.,"Shannon, Ireland",52.7104544,-8.8788366,POINT (52.7104544 -8.8788366)
1960,3/15/1960,,Agencia Interamericana de Aviada,,6,Crashed in the jungle  en route.,"El Refugio, Colombia",3.39813895,-76.55159486,POINT (3.39813895 -76.55159486151041)
1960,3/16/1960,19:40,All Nippon Airways,,5,Mid-air collision with a Japan Air Self Defence Force F-86 fighter which was taking off from Nagoya. Both planes crashed but the F-86 pilot ejected safely.,"Nagoya, Japan",35.1851045,136.8998438,POINT (35.1851045 136.8998438)
1960,3/17/1960,15:25,Northwest Orient Airlines,710,63,An in-flight separation of the wing. A design flaw caused an oscillation known as whirl mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. Reduced stiffness of the structure and the entry of the aircraft into an area of severe clear air turbulence were contributing factors. One of two crashes with the same cause.  See 9/29/59.,"Cannelton, 10 mile SE of Tell City, Indiana",37.914175,-86.750393,POINT (37.914175 -86.750393)
1960,3/19/1960,11:10,SAMSA,901,25,"Forced landing after engine failure. The accident was attributed to an error in judgment by the pilot in deciding to land at an airport which was closed and where no radio aid was available. Contributing factors were intermittent overspeeding of propellers, adverse weather and no communication tower.","Cordoba, Colombia",8.3344713,-75.6666238,POINT (8.334471300000001 -75.6666238)
1960,4/5/1960,14:39,Lanica,,2,Flew into a hill shortly after taking off. Engine failure due to a  fatigue crack at a valve.,"Siuna, Nicaragua",13.7344412,-84.7779262,POINT (13.7344412 -84.7779262)
1960,4/12/1960,14:20,Cruzeiro,,10,"While taking off, the plane drifted to the right, overcorrected to the left and struck two other aircraft. Pilot error.  Incorrect use of the brakes and controls while on the ground.","Pelotas, Brazil",-31.7699736,-52.3410161,POINT (-31.7699736 -52.3410161)
1960,4/14/1960,,Military - Royal Thai Air Force,,18,Struck Mt Wuzhi located 8 km northeast of the airport.,"Taipei,Taiwan",25.0375198,121.5636796,POINT (25.0375198 121.5636796)
1960,4/18/1960,,Military - U.S. Air Force,,9,Failed to gain altitude on take off and struck a hill.,"Stephenville, Newfoundland",48.5452022,-58.5871146,POINT (48.54520220000001 -58.58711460000001)
1960,4/19/1960,20:48,Lloyd Aereo Colombiano,503,37,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.,"Bogota, Colombia",4.59808,-74.0760439,POINT (4.59808 -74.0760439)
1960,4/20/1960,13:06,Piedmont Airlines / Private,,4,"The aircraft were involved in a midair collision while both were making an approach to land. The pilot of the Cessna, the over-taking aircraft, failed to see and avoid the F-27 during the landing appoach. Four died aboard the Cessna, none aboard the Fairchild.","Hickory, North Carolina",35.7333312,-81.3442915,POINT (35.7333312 -81.3442915)
1960,4/22/1960,7:55,Sobelair SA (Belgium),,35,Crashed into the slope of Bogoro Peak located about 8 km short of runway.while on approach. Crew error. The decision by the pilot in descending below the minimum ceiling prescribed.,"Bunia, Belgian Congo",1.5620529,30.2478844,POINT (1.5620529 30.2478844)
1960,4/28/1960,8:22,Linea Aeropostal Venezolana,,13,The aircraft crashed after an explosion aboard. Detonation of a hand-grenade brought aboard by a Russian immigrant. The explosion occurred after the captain tried to disarm the man.,"Calabozo, Venezuela",11.1158785,-71.8703941,POINT (11.1158785 -71.8703941)
1960,5/15/1960,22:57,Balair,,12,"Crashed into 8,000 ft. Mt. Marra. Navigation error by the crew who were using an astrofix to estimate their position.","Jebel Marra, Sudan",13.043476,24.026931,POINT (13.043476 24.026931)
1960,5/18/1960,15:30,Transamerican Air Transport,,9,Crashed due to structural failure after flying into extremely violent turbulence. Insufficient preparation for the flight by the crew. Inadequate arrangements for the secure carriage of the livestock. The pilots failure to familiarize himself with the prevailing weather conditions. Not found until 11/21/61.,"El Sosneado, Argentina",-35.0788526,-69.5677277,POINT (-35.0788526 -69.56772770000001)
1960,5/23/1960,11:52,Delta Air Lines,,4,"The aircraft stalled for reasons undetermined, at an altitude too low to effect recovery.","Atlanta, Georgia",33.7490987,-84.3901849,POINT (33.7490987 -84.39018490000002)
1960,6/10/1960,10:55,Aeroflot,207,31,The plane crashed in hillside woods while en route. Poor organization and overseeing the preparation of the flight by the crew.,"Nea Tkvarcheli, Georgia",41.717842,44.779623,POINT (41.717842 44.779623)
1960,6/10/1960,22:05,Trans Australia Airlines,538,29,"The flight crashed into the sea, 7.5 miles from the airport after being in a holding pattern waiting for fog to lift.  Cause could not be determined.","Mackay, Qld. Australia",-21.141956,149.1865149,POINT (-21.141956 149.1865149)
1960,6/14/1960,4:47,Pacific Northern Airlines,201,14,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course.","Mt. Gilbert, Alaska",54.2512048,-165.6605409,POINT (54.2512048 -165.6605409)
1960,6/24/1960,18:30,REAL,,54,Crashed into Guanabara Bay during approach. Cause undetermined.,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727,POINT (-22.9110137 -43.2093727)
1960,7/6/1960,14:30,Military - U.S. Navy,,18,"The airship crashed nose-first into the Atlantic Ocean, 10 miles off the coast of New Jersey. The  failure of a seam due to some unknown factor that degraded the adhesive.","Barnegat City, New Jersey",39.7557462,-74.22071741,POINT (39.7557462 -74.22071740889321)
1960,7/10/1960,10:30,Gulf Aviation (Kalinga Airways),,20,Crashed into the Persian Gulf while en route. Cause undetermined. Wreckage never found.,Persian Gulf,27.23823515,51.19718208,POINT (27.23823515 51.19718207569)
1960,7/11/1960,11:45,Military - U.S. Misson,,18,Crashed and burned on Mt. Pichincha as it prepared to land at Quito.,"Quito, Ecuador",-0.2201641,-78.5123274,POINT (-0.2201641 -78.5123274)
1960,7/14/1960,4:30,Northwest Orient Airlines,11-Jan,1,"After a loss of power in the No. 2 engine the crew was unable to feather the prop. An emergency descent was made and the plane ditched into the ocean. Upon contact with the water, the aft end of the fuselage broke free at the rear of the pressure bulkhead, the right wing  tore free and the engines separated. The wing floated for 3hrs, serving as a life raft for  passengers. The remainder of the fuselage, sank some 10 minutes after impact.  Passengers were rescued 6 hours after the accident. Failure of No. 2  engine, resulting in oil contamination, loss of oil supply, subsequent loss of the No. 2 propeller assembly and fire-in-flight, which necessitated a ditching.","Manila, Philippines",14.5906216,120.9799696,POINT (14.5906216 120.9799696)
1960,7/15/1960,9:40,Ethiopian Airlines,372,1,"Crashed onto a mountainside at 9,000 ft. The pilot misjudged the weather conditions and continued to fly into deteriorating weather conditions while trying to maintain VFR. The pilot attempted to climb at a speed below the minimum safe climbing speed of the aircraft.","Jima, Ethiopia",9.53333,38.1,POINT (9.533329999999999 38.1)
1960,7/16/1960,15:38,Flyve Tjenesten,,8,"The twin engine aircraft was chartered by the Danish Football Association. In the initial climb the pilot lost control of the plane and crashed into the ocean 50 meters off shore. Eight members of the Daniish Soccer Association were killed, while the pilot survived, but lost a leg. The pilot suffered spatial disorientation in heavy rain and strong crosswinds. The plane was not equipped with wipers which was considered as a contributing factor to the accident.","Copenhagen, Denmark",55.6867243,12.5700724,POINT (55.6867243 12.5700724)
1960,7/19/1960,13:45,Military - Royal Belgian Air Force,,37,Crashed into mountainous terrain north of Lake Kivu after experiencing engine failure.,"Goma, Zaire",-1.6665685,29.225652,POINT (-1.6665685 29.225652)
1960,7/20/1960,12:30,Aeroflot,613,23,Broke up in mid air after flying through a thunderstorm and experiencing heavy g loads.,"Syktyvkar, Russia",61.6685237,50.8352024,POINT (61.66852370000001 50.8352024)
1960,7/27/1960,22:38,Chicago Helicopter Airways,698,13,"The helicopter crashed into Forest Home Cemetery. The structural disintegration in flight, initiated by a fatigue fracture of a main rotor blade.","Forest Park, Illinois",41.8794758,-87.81367,POINT (41.87947579999999 -87.81367)
1960,7/31/1960,11:56,Deutsche Flugdienst,,1,"While descending through 5,000ft, the crew lost the No.1 engine. At 1,500 ft. the other engine was also lost. The aircraft crashed 3,300 ft. short of the runway. Failure of both engines on the aircraft.","Rimini, Italy",43.9470982,12.63076861,POINT (43.9470982 12.630768610516)
1960,8/1/1960,,TAM (Bolivia),,6,The DC-3 crashed into Hayti Mountain while en route.,"Tipuani, Bolivia",-15.5648946,-68.0187987,POINT (-15.5648946 -68.0187987)
1960,8/17/1960,15:58,Aeroflot,36,34,While en route the No. 4.engine caught fire.  The fire extinguishing system was ineffective and the fire spread to the wing after which the fuel tanks exploded and the plane crashed.,"Kiev, Ukraine",50.4500336,30.5241361,POINT (50.4500336 30.5241361)
1960,8/17/1960,23:45,Military - French Naval Aviation,,20,"Cashed while en route to Casablanca after experiencing an engine fire. Shortly after, the plane crashed in flames on a hilly terrain near El Kelâa des Sraghna.","El Kelaa, Morocco",35.2102654,-5.2509391,POINT (35.2102654 -5.250939099999999)
1960,8/24/1960,,Don Everall Aviation,,3,"The cargo plane took off, lost an engine, banked to the left and crashed into the ocean. The cause of the engine failure was not established but the most likely reason appears to be a defective fuel or ignition system. The reason why it was not possible for the aircraft to maintain safe flight after the failure of the engine remains unknown.","Heraklion, Greece",35.3400127,25.1343475,POINT (35.3400127 25.1343475)
1960,8/29/1960,6:47,Air France,343,63,"The aircraft crashed into the Atlantic Ocean after an unsuccessful landing attempt. Cause undetermined. Possible structural failure or loss of control due to turbulence, sensory illusion or distraction of the flight crew which could have been associated with a lightning strike.","Dakar, Senegal",14.693425,-17.447938,POINT (14.693425 -17.447938)
1960,9/2/1960,17:10,Aeroflot,804,18,The plane flew into the side of Mt. Belaya in poor weather. Crew flew below minimums.,"Zikhnovo, Russia",56.6409158,29.0086178,POINT (56.64091579999999 29.0086178)
1960,9/7/1960,9:40,Aerolineas Argentinas,205,31,"Crashed in a storm. Separation of propeller followed by disintegration of the aircraft. Overspeeding of No.3 propeller caused by irregular operation of the propeller governor, detachment of that propeller and impact with that of No.4 engine, followed by disintegration of the aircraft.","Salto, Uruguay",-31.38889,-57.9608876,POINT (-31.38889 -57.96088760000001)
1960,9/19/1960,6:02,World Airways,830/18,80,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft.","Agana, Guam, Mariana Islands",15.193315,145.748209,POINT (15.193315 145.748209)
1960,9/22/1960,14:10,Military - U.S. Navy,,29,The plane crashed after transmitting a message that the No. 3 engine was on fire and they were diverting to Okinawa. The fire in the No. 3 engine was extinguished but a residual fire continued in a tire until it ignited the fuel tank resulting in an explosion.,"Naha, Okinawa",26.2122345,127.6791452,POINT (26.2122345 127.6791452)
1960,9/22/1960,,Wheeler Airlines,,3,"Shortly after takeoff from Campbell Lake, while climbing, the single engine aircraft stalled and crashed in flames in a wooded area. The pilot and two passengers were killed while a third passenger was seriously injured.  Engine failure.","Campbell Lake, Quebec Canada",45.9788568,-74.2860761,POINT (45.9788568 -74.28607609999997)
1960,9/26/1960,23:40,Austrian Airlines,901,31,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter.","Moscow, Russia",55.7504461,37.6174943,POINT (55.7504461 37.6174943)
1960,9/28/1960,,Mexicana,,8,"Crashed on the slopes of a mountain near Juchitepec, about 40 km south of Mexico City Airport in dense fog.","Juchitepec, Mexico",19.09908255,-98.90256765,POINT (19.09908255 -98.90256764809841)
1960,9/29/1960,12:15,United Arab Airlines,738,21,Crashed  into the Tyrrhenian Sea off Elba after penetrating severe thunderstorm.,"Elba, Italy",42.79021905,10.34028139,POINT (42.79021905 10.3402813923538)
